VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,01-03-2016 00:00,01-03-2016 00:07,1,2.5,-73.97674561,40.765151977539055,1,N,-74.00426483,40.74612808227539,1,9,0.5,0.5,2.05,0,0.3,12.35
1,01-03-2016 00:00,01-03-2016 00:11,1,2.9,-73.98348236,40.767925262451165,1,N,-74.0059433,40.73316574,1,11,0.5,0.5,3.05,0,0.3,15.35
2,01-03-2016 00:00,01-03-2016 00:31,2,19.98,-73.78202057,40.64480972290039,1,N,-73.97454071,40.67576981,1,54.5,0.5,0.5,8,0,0.3,63.8
2,01-03-2016 00:00,01-03-2016 00:00,3,10.78,-73.86341858,40.769813537597656,1,N,-73.96965027,40.757766723632805,1,31.5,0,0.5,3.78,5.54,0.3,41.62
2,01-03-2016 00:00,01-03-2016 00:00,5,30.43,-73.97174072,40.79218292236328,3,N,-74.1771698,40.69505310058594,1,98,0,0,0,15.5,0.3,113.8
2,01-03-2016 00:00,01-03-2016 00:00,5,5.92,-74.01719666,40.70538330078125,1,N,-73.97807312,40.75578689575195,1,23.5,1,0.5,5.06,0,0.3,30.36
2,01-03-2016 00:00,01-03-2016 00:00,6,5.72,-73.99458313,40.72784805297852,1,N,0,0,2,23,0.5,0.5,0,0,0.3,24.3
1,01-03-2016 00:00,01-03-2016 00:16,1,6.2,-73.78877258,40.64775848388672,1,N,-73.82920837,40.712345123291016,3,20.5,0.5,0.5,0,0,0.3,21.8
1,01-03-2016 00:00,01-03-2016 00:05,1,0.7,-73.95822144,40.76464080810546,1,N,-73.96789551,40.76290130615234,1,5.5,0.5,0.5,2,0,0.3,8.8
2,01-03-2016 00:00,01-03-2016 00:24,3,7.18,-73.98577881,40.74119186401367,1,N,-73.9463501,40.79787826538086,1,23.5,0.5,0.5,3.2,0,0.3,28
2,01-03-2016 00:00,01-03-2016 00:02,2,0.54,-73.98842621,40.76416016,1,N,-73.99239349,40.75822448730469,2,4,0.5,0.5,0,0,0.3,5.3
1,01-03-2016 00:00,01-03-2016 00:07,1,1.7,-73.96981812,40.79742813110352,1,N,-73.94377136,40.796199798583984,2,8,0.5,0.5,0,0,0.3,9.3
1,01-03-2016 00:00,01-03-2016 00:03,1,1.1,-73.95380402,40.78812789916992,1,N,-73.97154999,40.79523849487305,1,5.5,0.5,0.5,2.2,0,0.3,9
2,01-03-2016 00:00,01-03-2016 00:09,1,2.1,-73.97608948,40.75217056274414,1,N,-73.98744965,40.770782470703125,1,9,0.5,0.5,2.06,0,0.3,12.36
2,01-03-2016 00:00,01-03-2016 00:24,1,8.54,-74.00206757,40.719120025634766,1,N,-73.95211792,40.81124114990234,1,27,0.5,0.5,5.66,0,0.3,33.96
2,01-03-2016 00:00,01-03-2016 00:08,1,2,-74.00672913,40.730716705322266,1,N,-74.01704407,40.70936584472656,1,8.5,0.5,0.5,2,0,0.3,11.8
1,01-03-2016 00:00,01-03-2016 00:09,1,3.2,-74.00661469,40.716621398925774,1,N,-73.99010468,40.75605010986328,2,11,0.5,0.5,0,0,0.3,12.3
2,01-03-2016 00:00,01-03-2016 00:08,1,1.59,-73.98226929,40.77061844,1,N,-73.96874237,40.75503921508789,1,8,0.5,0.5,1.86,0,0.3,11.16
2,01-03-2016 00:00,01-03-2016 00:32,3,16.81,-73.79238892,40.64503098,2,N,-73.98628998,40.75851821899414,1,52,0,0.5,8,5.54,0.3,66.34
1,01-03-2016 00:00,01-03-2016 00:03,2,0.5,-73.98378754,40.73189163208008,1,N,-73.97581482,40.72851943969727,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,01-03-2016 00:00,01-03-2016 00:06,1,0.6,-73.99941254,40.738563537597656,1,N,-74.00245667,40.74532699584961,2,5.5,0.5,0.5,0,0,0.3,6.8
1,01-03-2016 00:00,01-03-2016 00:19,1,9.9,-73.86585999,40.77117919921875,1,N,-73.92384338,40.69843292236328,2,28.5,0.5,0.5,0,0,0.3,29.8
2,01-03-2016 00:00,01-03-2016 00:02,2,0.8,-73.96642303,40.76165008544922,1,N,-73.95902252,40.76818084716797,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,01-03-2016 00:00,01-03-2016 00:02,2,0.49,-73.98986816,40.757118225097656,1,N,-73.98538971,40.76319122314453,2,4,0.5,0.5,0,0,0.3,5.3
2,01-03-2016 00:00,01-03-2016 00:14,1,5.31,-73.98406982,40.74290084838867,1,N,-73.94271088,40.71472930908203,1,17,0.5,0.5,4.58,0,0.3,22.88
1,01-03-2016 00:00,01-03-2016 00:12,1,3.5,-74.00041962,40.72746276855469,1,N,-73.94773865,40.70987319946289,2,13,0.5,0.5,0,0,0.3,14.3
2,01-03-2016 00:00,01-03-2016 00:31,2,9.14,-73.99080658,40.75765228271485,1,N,-73.88148499,40.73888397216797,1,31,0.5,0.5,6.46,0,0.3,38.76
